clicks,completions,score,confidence,rank_score
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
1,0,50.357142857142854,0,0.03
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
0,0,50.357142857142854,0,0
